strata,strata_display,date,date_number,year,month_number,month,division,division_name,food_consumer_price_index
rural,Rural households,2010-03-01,20100301,2010,3,March,01,Food and beverages,99.1
rural,Rural households,2010-04-01,20100401,2010,4,April,01,Food and beverages,99.2
rural,Rural households,2010-05-01,20100501,2010,5,May,01,Food and beverages,99.5
rural,Rural households,2010-06-01,20100601,2010,6,June,01,Food and beverages,99.9
rural,Rural households,2010-07-01,20100701,2010,7,July,01,Food and beverages,100.0
rural,Rural households,2010-08-01,20100801,2010,8,August,01,Food and beverages,100.5
rural,Rural households,2010-09-01,20100901,2010,9,September,01,Food and beverages,100.4
rural,Rural households,2010-10-01,20101001,2010,10,October,01,Food and beverages,100.6
rural,Rural households,2010-11-01,20101101,2010,11,November,01,Food and beverages,101.1
rural,Rural households,2010-12-01,20101201,2010,12,December,01,Food and beverages,101.4
rural,Rural households,2011-01-01,20110101,2011,1,January,01,Food and beverages,102.7
rural,Rural households,2011-02-01,20110201,2011,2,February,01,Food and beverages,103.3
rural,Rural households,2011-03-01,20110301,2011,3,March,01,Food and beverages,103.6
rural,Rural households,2011-04-01,20110401,2011,4,April,01,Food and beverages,103.7
rural,Rural households,2011-05-01,20110501,2011,5,May,01,Food and beverages,104.0
rural,Rural households,2011-06-01,20110601,2011,6,June,01,Food and beverages,104.4
rural,Rural households,2011-07-01,20110701,2011,7,July,01,Food and beverages,104.8
rural,Rural households,2011-08-01,20110801,2011,8,August,01,Food and beverages,104.8
rural,Rural households,2011-09-01,20110901,2011,9,September,01,Food and beverages,105.2
rural,Rural households,2011-10-01,20111001,2011,10,October,01,Food and beverages,105.7
rural,Rural households,2011-11-01,20111101,2011,11,November,01,Food and beverages,105.7
rural,Rural households,2011-12-01,20111201,2011,12,December,01,Food and beverages,106.1
rural,Rural households,2012-01-01,20120101,2012,1,January,01,Food and beverages,107.0
rural,Rural households,2012-02-01,20120201,2012,2,February,01,Food and beverages,106.1
rural,Rural households,2012-03-01,20120301,2012,3,March,01,Food and beverages,106.1
rural,Rural households,2012-04-01,20120401,2012,4,April,01,Food and beverages,105.8
rural,Rural households,2012-05-01,20120501,2012,5,May,01,Food and beverages,106.5
rural,Rural households,2012-06-01,20120601,2012,6,June,01,Food and beverages,107.2
rural,Rural households,2012-07-01,20120701,2012,7,July,01,Food and beverages,107.1
rural,Rural households,2012-08-01,20120801,2012,8,August,01,Food and beverages,107.1
rural,Rural households,2012-09-01,20120901,2012,9,September,01,Food and beverages,106.9
rural,Rural households,2012-10-01,20121001,2012,10,October,01,Food and beverages,107.3
rural,Rural households,2012-11-01,20121101,2012,11,November,01,Food and beverages,107.5
rural,Rural households,2012-12-01,20121201,2012,12,December,01,Food and beverages,107.8
rural,Rural households,2013-01-01,20130101,2013,1,January,01,Food and beverages,108.6
rural,Rural households,2013-02-01,20130201,2013,2,February,01,Food and beverages,109.1
rural,Rural households,2013-03-01,20130301,2013,3,March,01,Food and beverages,109.1
rural,Rural households,2013-04-01,20130401,2013,4,April,01,Food and beverages,109.3
rural,Rural households,2013-05-01,20130501,2013,5,May,01,Food and beverages,109.5
rural,Rural households,2013-06-01,20130601,2013,6,June,01,Food and beverages,109.9
rural,Rural households,2013-07-01,20130701,2013,7,July,01,Food and beverages,110.9
rural,Rural households,2013-08-01,20130801,2013,8,August,01,Food and beverages,110.5
rural,Rural households,2013-09-01,20130901,2013,9,September,01,Food and beverages,110.8
rural,Rural households,2013-10-01,20131001,2013,10,October,01,Food and beverages,110.9
rural,Rural households,2013-11-01,20131101,2013,11,November,01,Food and beverages,111.3
rural,Rural households,2013-12-01,20131201,2013,12,December,01,Food and beverages,112.3
rural,Rural households,2014-01-01,20140101,2014,1,January,01,Food and beverages,112.6
rural,Rural households,2014-02-01,20140201,2014,2,February,01,Food and beverages,112.7
rural,Rural households,2014-03-01,20140301,2014,3,March,01,Food and beverages,112.9
rural,Rural households,2014-04-01,20140401,2014,4,April,01,Food and beverages,112.8
rural,Rural households,2014-05-01,20140501,2014,5,May,01,Food and beverages,112.6
rural,Rural households,2014-06-01,20140601,2014,6,June,01,Food and beverages,113.2
rural,Rural households,2014-07-01,20140701,2014,7,July,01,Food and beverages,113.5
rural,Rural households,2014-08-01,20140801,2014,8,August,01,Food and beverages,113.5
rural,Rural households,2014-09-01,20140901,2014,9,September,01,Food and beverages,113.8
rural,Rural households,2014-10-01,20141001,2014,10,October,01,Food and beverages,113.5
rural,Rural households,2014-11-01,20141101,2014,11,November,01,Food and beverages,113.8
rural,Rural households,2014-12-01,20141201,2014,12,December,01,Food and beverages,114.4
rural,Rural households,2015-01-01,20150101,2015,1,January,01,Food and beverages,115.2
rural,Rural households,2015-02-01,20150201,2015,2,February,01,Food and beverages,114.9
rural,Rural households,2015-03-01,20150301,2015,3,March,01,Food and beverages,114.7
rural,Rural households,2015-04-01,20150401,2015,4,April,01,Food and beverages,115.2
rural,Rural households,2015-05-01,20150501,2015,5,May,01,Food and beverages,115.8
rural,Rural households,2015-06-01,20150601,2015,6,June,01,Food and beverages,116.0
rural,Rural households,2015-07-01,20150701,2015,7,July,01,Food and beverages,116.8
rural,Rural households,2015-08-01,20150801,2015,8,August,01,Food and beverages,117.1
rural,Rural households,2015-09-01,20150901,2015,9,September,01,Food and beverages,117.3
rural,Rural households,2015-10-01,20151001,2015,10,October,01,Food and beverages,117.3
rural,Rural households,2015-11-01,20151101,2015,11,November,01,Food and beverages,117.2
rural,Rural households,2015-12-01,20151201,2015,12,December,01,Food and beverages,118.0
rural,Rural households,2016-01-01,20160101,2016,1,January,01,Food and beverages,118.6
rural,Rural households,2016-02-01,20160201,2016,2,February,01,Food and beverages,119.1
rural,Rural households,2016-03-01,20160301,2016,3,March,01,Food and beverages,119.0
rural,Rural households,2016-04-01,20160401,2016,4,April,01,Food and beverages,118.9
rural,Rural households,2016-05-01,20160501,2016,5,May,01,Food and beverages,119.2
rural,Rural households,2016-06-01,20160601,2016,6,June,01,Food and beverages,120.0
rural,Rural households,2016-07-01,20160701,2016,7,July,01,Food and beverages,120.3
rural,Rural households,2016-08-01,20160801,2016,8,August,01,Food and beverages,120.4
rural,Rural households,2016-09-01,20160901,2016,9,September,01,Food and beverages,120.0
rural,Rural households,2016-10-01,20161001,2016,10,October,01,Food and beverages,119.6
rural,Rural households,2016-11-01,20161101,2016,11,November,01,Food and beverages,120.5
rural,Rural households,2016-12-01,20161201,2016,12,December,01,Food and beverages,121.3
rural,Rural households,2017-01-01,20170101,2017,1,January,01,Food and beverages,122.4
rural,Rural households,2017-02-01,20170201,2017,2,February,01,Food and beverages,123.2
rural,Rural households,2017-03-01,20170301,2017,3,March,01,Food and beverages,122.9
rural,Rural households,2017-04-01,20170401,2017,4,April,01,Food and beverages,122.8
rural,Rural households,2017-05-01,20170501,2017,5,May,01,Food and beverages,123.5
rural,Rural households,2017-06-01,20170601,2017,6,June,01,Food and beverages,124.1
rural,Rural households,2017-07-01,20170701,2017,7,July,01,Food and beverages,124.4
rural,Rural households,2017-08-01,20170801,2017,8,August,01,Food and beverages,124.9
rural,Rural households,2017-09-01,20170901,2017,9,September,01,Food and beverages,124.8
rural,Rural households,2017-10-01,20171001,2017,10,October,01,Food and beverages,124.4
rural,Rural households,2017-11-01,20171101,2017,11,November,01,Food and beverages,124.9
rural,Rural households,2017-12-01,20171201,2017,12,December,01,Food and beverages,125.7
rural,Rural households,2018-01-01,20180101,2018,1,January,01,Food and beverages,126.2
rural,Rural households,2018-02-01,20180201,2018,2,February,01,Food and beverages,126.1
rural,Rural households,2018-03-01,20180301,2018,3,March,01,Food and beverages,125.7
rural,Rural households,2018-04-01,20180401,2018,4,April,01,Food and beverages,125.5
rural,Rural households,2018-05-01,20180501,2018,5,May,01,Food and beverages,125.4
rural,Rural households,2018-06-01,20180601,2018,6,June,01,Food and beverages,124.7
rural,Rural households,2018-07-01,20180701,2018,7,July,01,Food and beverages,124.9
rural,Rural households,2018-08-01,20180801,2018,8,August,01,Food and beverages,125.0
rural,Rural households,2018-09-01,20180901,2018,9,September,01,Food and beverages,124.8
rural,Rural households,2018-10-01,20181001,2018,10,October,01,Food and beverages,125.0
rural,Rural households,2018-11-01,20181101,2018,11,November,01,Food and beverages,125.1
rural,Rural households,2018-12-01,20181201,2018,12,December,01,Food and beverages,125.6
rural,Rural households,2019-01-01,20190101,2019,1,January,01,Food and beverages,126.6
rural,Rural households,2019-02-01,20190201,2019,2,February,01,Food and beverages,126.5
rural,Rural households,2019-03-01,20190301,2019,3,March,01,Food and beverages,125.8
rural,Rural households,2019-04-01,20190401,2019,4,April,01,Food and beverages,125.5
rural,Rural households,2019-05-01,20190501,2019,5,May,01,Food and beverages,126.3
rural,Rural households,2019-06-01,20190601,2019,6,June,01,Food and beverages,126.2
rural,Rural households,2019-07-01,20190701,2019,7,July,01,Food and beverages,126.5
rural,Rural households,2019-08-01,20190801,2019,8,August,01,Food and beverages,126.8
