state,map_state,date,year,month_number,month,division,division_name,inflation_yoy,inflation_mom
Johor,Johor,2012-06-01,2012,6,June,01,Food and non-alcoholic beverages,2.8,0.6
Kedah,Kedah,2012-06-01,2012,6,June,01,Food and non-alcoholic beverages,3.3,0.6
Kelantan,Kelantan,2012-06-01,2012,6,June,01,Food and non-alcoholic beverages,2.9,1.2
Melaka,Melaka,2012-06-01,2012,6,June,01,Food and non-alcoholic beverages,3.3,0.8
Negeri Sembilan,Negeri Sembilan,2012-06-01,2012,6,June,01,Food and non-alcoholic beverages,1.9,0.7
Pahang,Pahang,2012-06-01,2012,6,June,01,Food and non-alcoholic beverages,3.3,0.3
Perak,Perak,2012-06-01,2012,6,June,01,Food and non-alcoholic beverages,1.9,0.6
Perlis,Perlis,2012-06-01,2012,6,June,01,Food and non-alcoholic beverages,0.8,0.6
Pulau Pinang,Penang,2012-06-01,2012,6,June,01,Food and non-alcoholic beverages,3.5,0.7
Sabah,Sabah,2012-06-01,2012,6,June,01,Food and non-alcoholic beverages,2.8,0.4
Sarawak,Sarawak,2012-06-01,2012,6,June,01,Food and non-alcoholic beverages,3.3,0.4
Selangor,Selangor,2012-06-01,2012,6,June,01,Food and non-alcoholic beverages,2.8,0.6
Terengganu,Terengganu,2012-06-01,2012,6,June,01,Food and non-alcoholic beverages,2.0,0.8
W.P. Kuala Lumpur,Kuala Lumpur,2012-06-01,2012,6,June,01,Food and non-alcoholic beverages,2.4,0.3
W.P. Labuan,Labuan,2012-06-01,2012,6,June,01,Food and non-alcoholic beverages,5.9,0.6
W.P. Putrajaya,Putrajaya,2012-06-01,2012,6,June,01,Food and non-alcoholic beverages,2.9,0.3
Johor,Johor,2012-07-01,2012,7,July,01,Food and non-alcoholic beverages,2.6,0.3
Kedah,Kedah,2012-07-01,2012,7,July,01,Food and non-alcoholic beverages,3.0,0.1
Kelantan,Kelantan,2012-07-01,2012,7,July,01,Food and non-alcoholic beverages,2.3,-0.2
Melaka,Melaka,2012-07-01,2012,7,July,01,Food and non-alcoholic beverages,3.2,0.3
Negeri Sembilan,Negeri Sembilan,2012-07-01,2012,7,July,01,Food and non-alcoholic beverages,1.5,-0.1
Pahang,Pahang,2012-07-01,2012,7,July,01,Food and non-alcoholic beverages,2.9,0.1
Perak,Perak,2012-07-01,2012,7,July,01,Food and non-alcoholic beverages,1.3,-0.2
Perlis,Perlis,2012-07-01,2012,7,July,01,Food and non-alcoholic beverages,0.7,0.1
Pulau Pinang,Penang,2012-07-01,2012,7,July,01,Food and non-alcoholic beverages,2.7,-0.2
Sabah,Sabah,2012-07-01,2012,7,July,01,Food and non-alcoholic beverages,3.3,0.5
Sarawak,Sarawak,2012-07-01,2012,7,July,01,Food and non-alcoholic beverages,3.9,0.7
Selangor,Selangor,2012-07-01,2012,7,July,01,Food and non-alcoholic beverages,2.3,0.1
Terengganu,Terengganu,2012-07-01,2012,7,July,01,Food and non-alcoholic beverages,1.5,0.2
W.P. Kuala Lumpur,Kuala Lumpur,2012-07-01,2012,7,July,01,Food and non-alcoholic beverages,1.9,0.3
W.P. Labuan,Labuan,2012-07-01,2012,7,July,01,Food and non-alcoholic beverages,5.9,0.3
W.P. Putrajaya,Putrajaya,2012-07-01,2012,7,July,01,Food and non-alcoholic beverages,2.6,0.1
Johor,Johor,2012-08-01,2012,8,August,01,Food and non-alcoholic beverages,3.2,0.3
Kedah,Kedah,2012-08-01,2012,8,August,01,Food and non-alcoholic beverages,3.3,0.2
Kelantan,Kelantan,2012-08-01,2012,8,August,01,Food and non-alcoholic beverages,2.5,0.5
Melaka,Melaka,2012-08-01,2012,8,August,01,Food and non-alcoholic beverages,3.7,0.4
Negeri Sembilan,Negeri Sembilan,2012-08-01,2012,8,August,01,Food and non-alcoholic beverages,1.4,0.1
Pahang,Pahang,2012-08-01,2012,8,August,01,Food and non-alcoholic beverages,2.9,-0.2
Perak,Perak,2012-08-01,2012,8,August,01,Food and non-alcoholic beverages,1.3,-0.1
Perlis,Perlis,2012-08-01,2012,8,August,01,Food and non-alcoholic beverages,0.6,-0.2
Pulau Pinang,Penang,2012-08-01,2012,8,August,01,Food and non-alcoholic beverages,2.6,-0.1
Sabah,Sabah,2012-08-01,2012,8,August,01,Food and non-alcoholic beverages,2.9,0.1
Sarawak,Sarawak,2012-08-01,2012,8,August,01,Food and non-alcoholic beverages,3.9,0.0
Selangor,Selangor,2012-08-01,2012,8,August,01,Food and non-alcoholic beverages,2.7,0.2
Terengganu,Terengganu,2012-08-01,2012,8,August,01,Food and non-alcoholic beverages,1.1,-0.4
W.P. Kuala Lumpur,Kuala Lumpur,2012-08-01,2012,8,August,01,Food and non-alcoholic beverages,2.3,0.1
W.P. Labuan,Labuan,2012-08-01,2012,8,August,01,Food and non-alcoholic beverages,5.8,0.0
W.P. Putrajaya,Putrajaya,2012-08-01,2012,8,August,01,Food and non-alcoholic beverages,2.4,0.0
Johor,Johor,2012-09-01,2012,9,September,01,Food and non-alcoholic beverages,2.7,0.2
Kedah,Kedah,2012-09-01,2012,9,September,01,Food and non-alcoholic beverages,2.8,0.2
Kelantan,Kelantan,2012-09-01,2012,9,September,01,Food and non-alcoholic beverages,1.6,-0.8
Melaka,Melaka,2012-09-01,2012,9,September,01,Food and non-alcoholic beverages,3.3,0.0
Negeri Sembilan,Negeri Sembilan,2012-09-01,2012,9,September,01,Food and non-alcoholic beverages,0.9,0.0
Pahang,Pahang,2012-09-01,2012,9,September,01,Food and non-alcoholic beverages,2.8,0.2
Perak,Perak,2012-09-01,2012,9,September,01,Food and non-alcoholic beverages,1.1,0.3
Perlis,Perlis,2012-09-01,2012,9,September,01,Food and non-alcoholic beverages,0.2,0.2
Pulau Pinang,Penang,2012-09-01,2012,9,September,01,Food and non-alcoholic beverages,2.6,0.3
Sabah,Sabah,2012-09-01,2012,9,September,01,Food and non-alcoholic beverages,2.0,-0.6
Sarawak,Sarawak,2012-09-01,2012,9,September,01,Food and non-alcoholic beverages,4.0,0.3
Selangor,Selangor,2012-09-01,2012,9,September,01,Food and non-alcoholic beverages,2.4,0.2
Terengganu,Terengganu,2012-09-01,2012,9,September,01,Food and non-alcoholic beverages,-0.2,-1.0
W.P. Kuala Lumpur,Kuala Lumpur,2012-09-01,2012,9,September,01,Food and non-alcoholic beverages,2.2,0.3
W.P. Labuan,Labuan,2012-09-01,2012,9,September,01,Food and non-alcoholic beverages,5.8,0.2
W.P. Putrajaya,Putrajaya,2012-09-01,2012,9,September,01,Food and non-alcoholic beverages,1.0,0.0
Johor,Johor,2012-10-01,2012,10,October,01,Food and non-alcoholic beverages,1.9,0.1
Kedah,Kedah,2012-10-01,2012,10,October,01,Food and non-alcoholic beverages,2.8,0.7
Kelantan,Kelantan,2012-10-01,2012,10,October,01,Food and non-alcoholic beverages,1.3,-0.1
Melaka,Melaka,2012-10-01,2012,10,October,01,Food and non-alcoholic beverages,2.8,0.4
Negeri Sembilan,Negeri Sembilan,2012-10-01,2012,10,October,01,Food and non-alcoholic beverages,0.7,0.5
Pahang,Pahang,2012-10-01,2012,10,October,01,Food and non-alcoholic beverages,2.1,0.3
Perak,Perak,2012-10-01,2012,10,October,01,Food and non-alcoholic beverages,0.8,0.6
Perlis,Perlis,2012-10-01,2012,10,October,01,Food and non-alcoholic beverages,-0.6,0.4
Pulau Pinang,Penang,2012-10-01,2012,10,October,01,Food and non-alcoholic beverages,2.5,0.6
Sabah,Sabah,2012-10-01,2012,10,October,01,Food and non-alcoholic beverages,2.3,0.7
Sarawak,Sarawak,2012-10-01,2012,10,October,01,Food and non-alcoholic beverages,3.6,0.4
Selangor,Selangor,2012-10-01,2012,10,October,01,Food and non-alcoholic beverages,2.2,0.5
Terengganu,Terengganu,2012-10-01,2012,10,October,01,Food and non-alcoholic beverages,-0.1,0.1
W.P. Kuala Lumpur,Kuala Lumpur,2012-10-01,2012,10,October,01,Food and non-alcoholic beverages,1.0,0.3
W.P. Labuan,Labuan,2012-10-01,2012,10,October,01,Food and non-alcoholic beverages,4.0,0.0
W.P. Putrajaya,Putrajaya,2012-10-01,2012,10,October,01,Food and non-alcoholic beverages,0.9,0.4
Johor,Johor,2012-11-01,2012,11,November,01,Food and non-alcoholic beverages,2.3,0.1
Kedah,Kedah,2012-11-01,2012,11,November,01,Food and non-alcoholic beverages,2.5,-0.3
Kelantan,Kelantan,2012-11-01,2012,11,November,01,Food and non-alcoholic beverages,1.5,0.0
Melaka,Melaka,2012-11-01,2012,11,November,01,Food and non-alcoholic beverages,2.5,-0.3
Negeri Sembilan,Negeri Sembilan,2012-11-01,2012,11,November,01,Food and non-alcoholic beverages,1.3,-0.1
Pahang,Pahang,2012-11-01,2012,11,November,01,Food and non-alcoholic beverages,3.0,0.6
Perak,Perak,2012-11-01,2012,11,November,01,Food and non-alcoholic beverages,1.3,0.0
Perlis,Perlis,2012-11-01,2012,11,November,01,Food and non-alcoholic beverages,-0.4,-0.6
Pulau Pinang,Penang,2012-11-01,2012,11,November,01,Food and non-alcoholic beverages,2.1,-0.2
Sabah,Sabah,2012-11-01,2012,11,November,01,Food and non-alcoholic beverages,2.2,0.1
Sarawak,Sarawak,2012-11-01,2012,11,November,01,Food and non-alcoholic beverages,3.2,0.1
Selangor,Selangor,2012-11-01,2012,11,November,01,Food and non-alcoholic beverages,1.9,-0.2
Terengganu,Terengganu,2012-11-01,2012,11,November,01,Food and non-alcoholic beverages,0.6,0.4
W.P. Kuala Lumpur,Kuala Lumpur,2012-11-01,2012,11,November,01,Food and non-alcoholic beverages,1.0,-0.3
W.P. Labuan,Labuan,2012-11-01,2012,11,November,01,Food and non-alcoholic beverages,3.8,-0.2
W.P. Putrajaya,Putrajaya,2012-11-01,2012,11,November,01,Food and non-alcoholic beverages,1.0,-0.1
Johor,Johor,2012-12-01,2012,12,December,01,Food and non-alcoholic beverages,2.2,0.5
Kedah,Kedah,2012-12-01,2012,12,December,01,Food and non-alcoholic beverages,2.5,0.3
Kelantan,Kelantan,2012-12-01,2012,12,December,01,Food and non-alcoholic beverages,0.9,0.3
Melaka,Melaka,2012-12-01,2012,12,December,01,Food and non-alcoholic beverages,2.7,0.7
Negeri Sembilan,Negeri Sembilan,2012-12-01,2012,12,December,01,Food and non-alcoholic beverages,1.2,0.3
Pahang,Pahang,2012-12-01,2012,12,December,01,Food and non-alcoholic beverages,2.7,0.5
Perak,Perak,2012-12-01,2012,12,December,01,Food and non-alcoholic beverages,1.2,0.1
Perlis,Perlis,2012-12-01,2012,12,December,01,Food and non-alcoholic beverages,0.4,0.4
Pulau Pinang,Penang,2012-12-01,2012,12,December,01,Food and non-alcoholic beverages,2.0,0.3
Sabah,Sabah,2012-12-01,2012,12,December,01,Food and non-alcoholic beverages,2.1,0.3
Sarawak,Sarawak,2012-12-01,2012,12,December,01,Food and non-alcoholic beverages,2.6,-0.3
Selangor,Selangor,2012-12-01,2012,12,December,01,Food and non-alcoholic beverages,2.1,0.3
Terengganu,Terengganu,2012-12-01,2012,12,December,01,Food and non-alcoholic beverages,0.7,0.6
W.P. Kuala Lumpur,Kuala Lumpur,2012-12-01,2012,12,December,01,Food and non-alcoholic beverages,1.3,0.4
W.P. Labuan,Labuan,2012-12-01,2012,12,December,01,Food and non-alcoholic beverages,4.5,0.7
W.P. Putrajaya,Putrajaya,2012-12-01,2012,12,December,01,Food and non-alcoholic beverages,0.9,0.1
Johor,Johor,2013-01-01,2013,1,January,01,Food and non-alcoholic beverages,2.0,1.5
Kedah,Kedah,2013-01-01,2013,1,January,01,Food and non-alcoholic beverages,3.1,1.5
Kelantan,Kelantan,2013-01-01,2013,1,January,01,Food and non-alcoholic beverages,1.2,1.3
Melaka,Melaka,2013-01-01,2013,1,January,01,Food and non-alcoholic beverages,2.7,1.1
Negeri Sembilan,Negeri Sembilan,2013-01-01,2013,1,January,01,Food and non-alcoholic beverages,1.7,1.0
Pahang,Pahang,2013-01-01,2013,1,January,01,Food and non-alcoholic beverages,3.3,1.2
Perak,Perak,2013-01-01,2013,1,January,01,Food and non-alcoholic beverages,1.3,1.0
Perlis,Perlis,2013-01-01,2013,1,January,01,Food and non-alcoholic beverages,0.6,0.3
Pulau Pinang,Penang,2013-01-01,2013,1,January,01,Food and non-alcoholic beverages,2.9,1.6
Sabah,Sabah,2013-01-01,2013,1,January,01,Food and non-alcoholic beverages,2.1,0.8
Sarawak,Sarawak,2013-01-01,2013,1,January,01,Food and non-alcoholic beverages,2.4,0.7
Selangor,Selangor,2013-01-01,2013,1,January,01,Food and non-alcoholic beverages,2.5,1.0
Terengganu,Terengganu,2013-01-01,2013,1,January,01,Food and non-alcoholic beverages,1.7,1.9
W.P. Kuala Lumpur,Kuala Lumpur,2013-01-01,2013,1,January,01,Food and non-alcoholic beverages,1.5,0.7
W.P. Labuan,Labuan,2013-01-01,2013,1,January,01,Food and non-alcoholic beverages,3.4,0.4
W.P. Putrajaya,Putrajaya,2013-01-01,2013,1,January,01,Food and non-alcoholic beverages,1.2,0.6
Johor,Johor,2013-02-01,2013,2,February,01,Food and non-alcoholic beverages,4.4,0.4
Kedah,Kedah,2013-02-01,2013,2,February,01,Food and non-alcoholic beverages,3.7,0.0
Kelantan,Kelantan,2013-02-01,2013,2,February,01,Food and non-alcoholic beverages,2.7,0.3
Melaka,Melaka,2013-02-01,2013,2,February,01,Food and non-alcoholic beverages,4.5,0.2
Negeri Sembilan,Negeri Sembilan,2013-02-01,2013,2,February,01,Food and non-alcoholic beverages,2.8,0.5
Pahang,Pahang,2013-02-01,2013,2,February,01,Food and non-alcoholic beverages,4.0,0.0
Perak,Perak,2013-02-01,2013,2,February,01,Food and non-alcoholic beverages,2.5,0.2
Perlis,Perlis,2013-02-01,2013,2,February,01,Food and non-alcoholic beverages,0.7,-0.3
Pulau Pinang,Penang,2013-02-01,2013,2,February,01,Food and non-alcoholic beverages,3.5,0.0
Sabah,Sabah,2013-02-01,2013,2,February,01,Food and non-alcoholic beverages,3.4,1.3
Sarawak,Sarawak,2013-02-01,2013,2,February,01,Food and non-alcoholic beverages,2.8,0.4
Selangor,Selangor,2013-02-01,2013,2,February,01,Food and non-alcoholic beverages,3.5,0.3
Terengganu,Terengganu,2013-02-01,2013,2,February,01,Food and non-alcoholic beverages,2.9,-0.2
W.P. Kuala Lumpur,Kuala Lumpur,2013-02-01,2013,2,February,01,Food and non-alcoholic beverages,1.8,-0.2
W.P. Labuan,Labuan,2013-02-01,2013,2,February,01,Food and non-alcoholic beverages,2.0,-0.4
W.P. Putrajaya,Putrajaya,2013-02-01,2013,2,February,01,Food and non-alcoholic beverages,1.2,-0.1
Johor,Johor,2013-03-01,2013,3,March,01,Food and non-alcoholic beverages,4.2,-0.4
Kedah,Kedah,2013-03-01,2013,3,March,01,Food and non-alcoholic beverages,4.2,-0.1
Kelantan,Kelantan,2013-03-01,2013,3,March,01,Food and non-alcoholic beverages,2.6,-0.3
Melaka,Melaka,2013-03-01,2013,3,March,01,Food and non-alcoholic beverages,4.0,-0.4
Negeri Sembilan,Negeri Sembilan,2013-03-01,2013,3,March,01,Food and non-alcoholic beverages,3.4,0.1
Pahang,Pahang,2013-03-01,2013,3,March,01,Food and non-alcoholic beverages,4.3,0.3
Perak,Perak,2013-03-01,2013,3,March,01,Food and non-alcoholic beverages,2.2,-0.2
Perlis,Perlis,2013-03-01,2013,3,March,01,Food and non-alcoholic beverages,0.8,0.0
Pulau Pinang,Penang,2013-03-01,2013,3,March,01,Food and non-alcoholic beverages,3.2,-0.2
Sabah,Sabah,2013-03-01,2013,3,March,01,Food and non-alcoholic beverages,3.4,0.2
Sarawak,Sarawak,2013-03-01,2013,3,March,01,Food and non-alcoholic beverages,2.7,0.4
Selangor,Selangor,2013-03-01,2013,3,March,01,Food and non-alcoholic beverages,3.6,0.2
Terengganu,Terengganu,2013-03-01,2013,3,March,01,Food and non-alcoholic beverages,2.5,-0.4
W.P. Kuala Lumpur,Kuala Lumpur,2013-03-01,2013,3,March,01,Food and non-alcoholic beverages,2.1,0.0
W.P. Labuan,Labuan,2013-03-01,2013,3,March,01,Food and non-alcoholic beverages,2.8,0.9
W.P. Putrajaya,Putrajaya,2013-03-01,2013,3,March,01,Food and non-alcoholic beverages,2.7,1.4
Johor,Johor,2013-04-01,2013,4,April,01,Food and non-alcoholic beverages,4.2,-0.3
Kedah,Kedah,2013-04-01,2013,4,April,01,Food and non-alcoholic beverages,4.6,0.4
Kelantan,Kelantan,2013-04-01,2013,4,April,01,Food and non-alcoholic beverages,3.2,0.3
Melaka,Melaka,2013-04-01,2013,4,April,01,Food and non-alcoholic beverages,4.8,0.4
Negeri Sembilan,Negeri Sembilan,2013-04-01,2013,4,April,01,Food and non-alcoholic beverages,3.6,-0.1
Pahang,Pahang,2013-04-01,2013,4,April,01,Food and non-alcoholic beverages,4.4,-0.1
Perak,Perak,2013-04-01,2013,4,April,01,Food and non-alcoholic beverages,2.9,0.2
Perlis,Perlis,2013-04-01,2013,4,April,01,Food and non-alcoholic beverages,1.2,0.3
Pulau Pinang,Penang,2013-04-01,2013,4,April,01,Food and non-alcoholic beverages,3.6,0.2
Sabah,Sabah,2013-04-01,2013,4,April,01,Food and non-alcoholic beverages,3.4,-0.5
Sarawak,Sarawak,2013-04-01,2013,4,April,01,Food and non-alcoholic beverages,2.7,-0.1
Selangor,Selangor,2013-04-01,2013,4,April,01,Food and non-alcoholic beverages,4.2,0.5
Terengganu,Terengganu,2013-04-01,2013,4,April,01,Food and non-alcoholic beverages,2.8,0.0
W.P. Kuala Lumpur,Kuala Lumpur,2013-04-01,2013,4,April,01,Food and non-alcoholic beverages,2.8,0.2
W.P. Labuan,Labuan,2013-04-01,2013,4,April,01,Food and non-alcoholic beverages,2.7,0.3
W.P. Putrajaya,Putrajaya,2013-04-01,2013,4,April,01,Food and non-alcoholic beverages,5.6,2.7
Johor,Johor,2013-05-01,2013,5,May,01,Food and non-alcoholic beverages,3.9,0.6
Kedah,Kedah,2013-05-01,2013,5,May,01,Food and non-alcoholic beverages,4.0,0.5
Kelantan,Kelantan,2013-05-01,2013,5,May,01,Food and non-alcoholic beverages,3.1,0.6
Melaka,Melaka,2013-05-01,2013,5,May,01,Food and non-alcoholic beverages,4.2,0.6
Negeri Sembilan,Negeri Sembilan,2013-05-01,2013,5,May,01,Food and non-alcoholic beverages,3.4,0.5
Pahang,Pahang,2013-05-01,2013,5,May,01,Food and non-alcoholic beverages,4.4,1.2
Perak,Perak,2013-05-01,2013,5,May,01,Food and non-alcoholic beverages,2.8,0.4
Perlis,Perlis,2013-05-01,2013,5,May,01,Food and non-alcoholic beverages,1.2,0.0
Pulau Pinang,Penang,2013-05-01,2013,5,May,01,Food and non-alcoholic beverages,3.5,0.4
Sabah,Sabah,2013-05-01,2013,5,May,01,Food and non-alcoholic beverages,2.7,-0.5
Sarawak,Sarawak,2013-05-01,2013,5,May,01,Food and non-alcoholic beverages,2.9,0.1
Selangor,Selangor,2013-05-01,2013,5,May,01,Food and non-alcoholic beverages,4.1,0.4
Terengganu,Terengganu,2013-05-01,2013,5,May,01,Food and non-alcoholic beverages,2.9,0.9
W.P. Kuala Lumpur,Kuala Lumpur,2013-05-01,2013,5,May,01,Food and non-alcoholic beverages,2.5,0.4
W.P. Labuan,Labuan,2013-05-01,2013,5,May,01,Food and non-alcoholic beverages,2.8,0.0
W.P. Putrajaya,Putrajaya,2013-05-01,2013,5,May,01,Food and non-alcoholic beverages,5.4,0.0
Johor,Johor,2013-06-01,2013,6,June,01,Food and non-alcoholic beverages,3.7,0.4
Kedah,Kedah,2013-06-01,2013,6,June,01,Food and non-alcoholic beverages,3.6,0.1
Kelantan,Kelantan,2013-06-01,2013,6,June,01,Food and non-alcoholic beverages,3.1,1.3
Melaka,Melaka,2013-06-01,2013,6,June,01,Food and non-alcoholic beverages,3.7,0.4
Negeri Sembilan,Negeri Sembilan,2013-06-01,2013,6,June,01,Food and non-alcoholic beverages,2.8,0.1
Pahang,Pahang,2013-06-01,2013,6,June,01,Food and non-alcoholic beverages,4.0,-0.2
Perak,Perak,2013-06-01,2013,6,June,01,Food and non-alcoholic beverages,2.6,0.4
Perlis,Perlis,2013-06-01,2013,6,June,01,Food and non-alcoholic beverages,0.5,-0.1
Pulau Pinang,Penang,2013-06-01,2013,6,June,01,Food and non-alcoholic beverages,3.1,0.4
Sabah,Sabah,2013-06-01,2013,6,June,01,Food and non-alcoholic beverages,2.5,0.2
Sarawak,Sarawak,2013-06-01,2013,6,June,01,Food and non-alcoholic beverages,2.6,0.1
Selangor,Selangor,2013-06-01,2013,6,June,01,Food and non-alcoholic beverages,3.8,0.3
Terengganu,Terengganu,2013-06-01,2013,6,June,01,Food and non-alcoholic beverages,2.7,0.6
W.P. Kuala Lumpur,Kuala Lumpur,2013-06-01,2013,6,June,01,Food and non-alcoholic beverages,2.7,0.6
W.P. Labuan,Labuan,2013-06-01,2013,6,June,01,Food and non-alcoholic beverages,2.7,0.5
W.P. Putrajaya,Putrajaya,2013-06-01,2013,6,June,01,Food and non-alcoholic beverages,5.7,0.6
Johor,Johor,2013-07-01,2013,7,July,01,Food and non-alcoholic beverages,4.0,0.6
Kedah,Kedah,2013-07-01,2013,7,July,01,Food and non-alcoholic beverages,4.3,0.8
Kelantan,Kelantan,2013-07-01,2013,7,July,01,Food and non-alcoholic beverages,4.3,1.0
Melaka,Melaka,2013-07-01,2013,7,July,01,Food and non-alcoholic beverages,4.5,1.1
Negeri Sembilan,Negeri Sembilan,2013-07-01,2013,7,July,01,Food and non-alcoholic beverages,3.5,0.6
Pahang,Pahang,2013-07-01,2013,7,July,01,Food and non-alcoholic beverages,4.6,0.7
Perak,Perak,2013-07-01,2013,7,July,01,Food and non-alcoholic beverages,3.6,0.7
Perlis,Perlis,2013-07-01,2013,7,July,01,Food and non-alcoholic beverages,1.0,0.7
Pulau Pinang,Penang,2013-07-01,2013,7,July,01,Food and non-alcoholic beverages,3.7,0.4
Sabah,Sabah,2013-07-01,2013,7,July,01,Food and non-alcoholic beverages,2.5,0.5
Sarawak,Sarawak,2013-07-01,2013,7,July,01,Food and non-alcoholic beverages,2.6,0.6
Selangor,Selangor,2013-07-01,2013,7,July,01,Food and non-alcoholic beverages,4.5,0.8
Terengganu,Terengganu,2013-07-01,2013,7,July,01,Food and non-alcoholic beverages,2.8,0.3
W.P. Kuala Lumpur,Kuala Lumpur,2013-07-01,2013,7,July,01,Food and non-alcoholic beverages,3.1,0.6
W.P. Labuan,Labuan,2013-07-01,2013,7,July,01,Food and non-alcoholic beverages,3.7,1.3
W.P. Putrajaya,Putrajaya,2013-07-01,2013,7,July,01,Food and non-alcoholic beverages,5.9,0.3
Johor,Johor,2013-08-01,2013,8,August,01,Food and non-alcoholic beverages,4.0,0.3
Kedah,Kedah,2013-08-01,2013,8,August,01,Food and non-alcoholic beverages,3.9,-0.2
Kelantan,Kelantan,2013-08-01,2013,8,August,01,Food and non-alcoholic beverages,3.6,-0.3
Melaka,Melaka,2013-08-01,2013,8,August,01,Food and non-alcoholic beverages,3.8,-0.3
Negeri Sembilan,Negeri Sembilan,2013-08-01,2013,8,August,01,Food and non-alcoholic beverages,3.2,-0.2
Pahang,Pahang,2013-08-01,2013,8,August,01,Food and non-alcoholic beverages,4.3,-0.4
Perak,Perak,2013-08-01,2013,8,August,01,Food and non-alcoholic beverages,3.3,-0.4
Perlis,Perlis,2013-08-01,2013,8,August,01,Food and non-alcoholic beverages,1.4,0.2
Pulau Pinang,Penang,2013-08-01,2013,8,August,01,Food and non-alcoholic beverages,3.5,-0.3
Sabah,Sabah,2013-08-01,2013,8,August,01,Food and non-alcoholic beverages,2.4,0.0
Sarawak,Sarawak,2013-08-01,2013,8,August,01,Food and non-alcoholic beverages,3.1,0.5
Selangor,Selangor,2013-08-01,2013,8,August,01,Food and non-alcoholic beverages,4.2,-0.1
Terengganu,Terengganu,2013-08-01,2013,8,August,01,Food and non-alcoholic beverages,2.7,-0.4
W.P. Kuala Lumpur,Kuala Lumpur,2013-08-01,2013,8,August,01,Food and non-alcoholic beverages,2.6,-0.4
W.P. Labuan,Labuan,2013-08-01,2013,8,August,01,Food and non-alcoholic beverages,3.3,-0.4
W.P. Putrajaya,Putrajaya,2013-08-01,2013,8,August,01,Food and non-alcoholic beverages,6.0,0.1
Johor,Johor,2013-09-01,2013,9,September,01,Food and non-alcoholic beverages,4.0,0.2
